"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Aung H.H.; Zheng H.; Erdt M.; Aw A.S.; Sin S.-C.J.; Theng Y.-L.","Aung, Htet Htet (57214405893); Zheng, Han (57202575475); Erdt, Mojisola (56074100100); Aw, Ashley Sara (57193624769); Sin, Sei-Ching Joanna (23019990700); Theng, Yin-Leng (6602765593)","57214405893; 57202575475; 56074100100; 57193624769; 23019990700; 6602765593","Investigating familiarity and usage of traditional metrics and altmetrics","2019","Journal of the Association for Information Science and Technology","70","8","","872","887","15","30","10.1002/asi.24162","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060611240&doi=10.1002%2fasi.24162&partnerID=40&md5=9b1a69ec815c4a2e5c157332a877b617","Article","Final","","Scopus","2-s2.0-85060611240"
"Barber K.","Barber, Kirk (7102660629)","7102660629","Altmetrics and Sunscreens","2019","Journal of Cutaneous Medicine and Surgery","23","4","","355","356","1","1","10.1177/1203475419858054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070482630&doi=10.1177%2f1203475419858054&partnerID=40&md5=af62f58fdd61093495d3ec18650924ef","Editorial","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85070482630"
"Lemke S.; Peters I.","Lemke, Steffen (57202709687); Peters, Isabella (23985912300)","57202709687; 23985912300","Coping with altmetrics’ heterogeneity – A survey on social media platforms’ usage purposes and target groups for researchers","2019","17th International Conference on Scientometrics and Informetrics, ISSI 2019 - Proceedings","2","","","2320","2325","5","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073876894&partnerID=40&md5=e027e91ece99b82d2ad25a3edf6c560b","Conference paper","Final","","Scopus","2-s2.0-85073876894"
"Nan X.; Li M.; Shi J.","Nan, Xia (56783804300); Li, Ming (57226231800); Shi, Jin (57043815700)","56783804300; 57226231800; 57043815700","Using altmetrics for assessing impact of highly-cited books in Chinese Book Citation Index","2020","Scientometrics","122","3","","1651","1669","18","11","10.1007/s11192-020-03347-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077724057&doi=10.1007%2fs11192-020-03347-2&partnerID=40&md5=97a7c9a59fc7caf701775ed232290c5a","Article","Final","","Scopus","2-s2.0-85077724057"
"Li X.; Jin X.","Li, Xiaotao (57198522496); Jin, Xinyi (58838577600)","57198522496; 58838577600","Research Hotspots and Frontier Analysis of Scientometrics Based on Altmetrics; [基于Altmetrics的《科学计量学》研究热点与前沿分析]","2019","Journal of Modern Information","39","1","","153","160","7","0","10.3969/j.issn.1008-0821.2019.01.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179067619&doi=10.3969%2fj.issn.1008-0821.2019.01.019&partnerID=40&md5=e1031c75909602ba9f82668e859013a3","Article","Final","","Scopus","2-s2.0-85179067619"
"Ezema I.J.; Ugwu C.I.","Ezema, Ifeanyi Jonas (35810058800); Ugwu, Cyprian I. (56769593400)","35810058800; 56769593400","Correlating research impact of library and information science journals using citation counts and altmetrics attention","2019","Information Discovery and Delivery","47","3","","143","153","10","21","10.1108/IDD-08-2018-0029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067024321&doi=10.1108%2fIDD-08-2018-0029&partnerID=40&md5=df0e590dce5f87dd7e8e7ed3f5339b3e","Article","Final","","Scopus","2-s2.0-85067024321"
"Heydari S.; Shekofteh M.; Kazerani M.","Heydari, Shabnam (57211295503); Shekofteh, Maryam (26422608300); Kazerani, Maryam (55674131900)","57211295503; 26422608300; 55674131900","Relationship between altmetrics and citations: A study on the highly cited research papers","2019","DESIDOC Journal of Library and Information Technology","39","4","","169","174","5","14","10.14429/djlit.39.4.14204","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073380721&doi=10.14429%2fdjlit.39.4.14204&partnerID=40&md5=79b2e55b05793ef3b737b99443ba1f6a","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85073380721"
"","","","The Development Trend of Altmetrics from a Systematic View:Integration, Openness and Deepening; [系统视角下Altmetrics的发展趋势: 融合、开放、深化]","2020","Information studies: Theory and Application","43","4","","32","39","7","2","10.16353/j.enki.1000-7490.2020.04.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128458792&doi=10.16353%2fj.enki.1000-7490.2020.04.006&partnerID=40&md5=bc8435c4c17c365c915ec0337cac7827","Article","Final","","Scopus","2-s2.0-85128458792"
"Saberi M.K.; Ekhtiyari F.","Saberi, Mohammad Karim (36350096800); Ekhtiyari, Faezeh (57207356899)","36350096800; 57207356899","Usage, captures, mentions, social media and citations of LIS highly cited papers: an altmetrics study","2019","Performance Measurement and Metrics","20","1","","37","47","10","32","10.1108/PMM-10-2018-0025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062467981&doi=10.1108%2fPMM-10-2018-0025&partnerID=40&md5=8079118118be2e4e4dcb387099ef2b1f","Article","Final","","Scopus","2-s2.0-85062467981"
"Thelwall M.","Thelwall, Mike (57527841900)","57527841900","The Pros and Cons of the Use of Altmetrics in Research Assessment","2020","Scholarly Assessment Reports","2","1","2","","","","38","10.29024/sar.10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104032499&doi=10.29024%2fsar.10&partnerID=40&md5=2012e2c51beca45a69b57fd8d55e4374","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85104032499"
"Sygocki W.; Korzeniewska E.","Sygocki, Witold (56454438600); Korzeniewska, Ewa (55310824100)","56454438600; 55310824100","What kind of impact is more important?.. role of altmetrics indicators","2018","2018 Applications of Electromagnetics in Modern Techniques and Medicine, PTZE 2018","","","8503248","256","259","3","0","10.1109/PTZE.2018.8503248","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057224453&doi=10.1109%2fPTZE.2018.8503248&partnerID=40&md5=3c33f9b793a3d63698a732d81e6448d6","Conference paper","Final","","Scopus","2-s2.0-85057224453"
"Asnafi A.R.; Dookhani F.","Asnafi, Amir Reza (53163274900); Dookhani, Firoozeh (57211424768)","53163274900; 57211424768","Implementation of altmetrics in central library of Islamic Azad university, science and research branch of Tehran","2019","17th International Conference on Scientometrics and Informetrics, ISSI 2019 - Proceedings","2","","","2471","2472","1","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073881211&partnerID=40&md5=a2ec75bacbf1423debdc8e7c26208361","Conference paper","Final","","Scopus","2-s2.0-85073881211"
"Zhao R.; Wang X.; Zhang Z.; Qi Y.; Chang R.","Zhao, Rongying (25928875100); Wang, Xu (57209608900); Zhang, Zhaoyang (57211424473); Qi, Yongkang (57211424376); Chang, Ruru (57211423442)","25928875100; 57209608900; 57211424473; 57211424376; 57211423442","A new perspective of evaluating journals impact: Altmetrics and citation indicators","2019","17th International Conference on Scientometrics and Informetrics, ISSI 2019 - Proceedings","2","","","2477","2478","1","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073879497&partnerID=40&md5=9ff457f47a2930c5c27c21c9366ebb1b","Conference paper","Final","","Scopus","2-s2.0-85073879497"
"Kalita D.; Deka D.; Hazarika T.","Kalita, Deepjyoti (58583424900); Deka, Dipen (57215720655); Hazarika, Tilak (57219096096)","58583424900; 57215720655; 57219096096","A 2D evaluation of altmetrics influence in citation growth: Case study of indian research articles in plos journals","2019","Journal of Scientometric Research","8","1","","21","26","5","3","10.5530/jscires.8.1.4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086029773&doi=10.5530%2fjscires.8.1.4&partnerID=40&md5=2b94b8137c0379b22f03ba64076e741f","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85086029773"
"Lamba M.; Kashyap N.; Margam M.","Lamba, Manika (57203910359); Kashyap, Neha (57224093435); Margam, Madhusudhan (22938351300)","57203910359; 57224093435; 22938351300","Research evaluation of computer science publications using Altmetrics: a cohort study of Indian Central Universities","2020","Global Knowledge, Memory and Communication","70","4-5","","459","486","27","7","10.1108/GKMC-07-2020-0097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106894662&doi=10.1108%2fGKMC-07-2020-0097&partnerID=40&md5=70aa4fa963d33a9443f5ff43ae5bf7b6","Article","Final","","Scopus","2-s2.0-85106894662"
"Chandrashekhar Y.; Shaw L.","Chandrashekhar, Y. (35477883500); Shaw, Leslee (7402573002)","35477883500; 7402573002","Journal Editors and Altmetrics: Moth to the Flame?","2019","JACC: Cardiovascular Imaging","12","9","","1899","1902","3","7","10.1016/j.jcmg.2019.08.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071043224&doi=10.1016%2fj.jcmg.2019.08.001&partnerID=40&md5=e85fc787cea580478814f9307b8257ee","Editorial","Final","","Scopus","2-s2.0-85071043224"
"Wang F.; Jia C.; Liu J.; Liu J.","Wang, Feifei (55740505400); Jia, Chenran (57210807420); Liu, Jiayu (57211425246); Liu, Junwan (55851779500)","55740505400; 57210807420; 57211425246; 55851779500","Dynamic assessment of the academic influence of scientific literature from the perspective of altmetrics","2019","17th International Conference on Scientometrics and Informetrics, ISSI 2019 - Proceedings","2","","","2528","2529","1","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073872620&partnerID=40&md5=2bb2507f90b7dc26a87d9bc23a93c882","Conference paper","Final","","Scopus","2-s2.0-85073872620"
"Bar-Ilan J.; Halevi G.","Bar-Ilan, Judit (57202052068); Halevi, Gali (55789593500)","57202052068; 55789593500","The Altmetrics of Henk Moed’s Publications","2020","Evaluative Informetrics: The Art of Metrics-Based Research Assessment: Festschrift in Honour of Henk F. Moed","","","","327","340","13","2","10.1007/978-3-030-47665-6_15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124533625&doi=10.1007%2f978-3-030-47665-6_15&partnerID=40&md5=7aaeae424d37b7276483c41bb64e5354","Book chapter","Final","","Scopus","2-s2.0-85124533625"
"Aharony N.; Bar-Ilan J.; Julien H.; Benyamin-Kahana M.; Cooper T.","Aharony, Noa (13805148300); Bar-Ilan, Judit (57202052068); Julien, Heidi (56416154700); Benyamin-Kahana, Michal (57224060280); Cooper, Tzipi (57221790122)","13805148300; 57202052068; 56416154700; 57224060280; 57221790122","Acceptance of altmetrics by LIS scholars: An exploratory study","2019","Journal of Librarianship and Information Science","51","3","","843","851","8","9","10.1177/0961000617742461","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086848072&doi=10.1177%2f0961000617742461&partnerID=40&md5=3afbd69a275cbe5feeb3b0427654dca9","Article","Final","","Scopus","2-s2.0-85086848072"
"Moral-Munoz J.A.; Salazar A.; Lucena-Antón D.; García-Sánchez P.; Cobo M.J.","Moral-Munoz, Jose A. (56062277800); Salazar, Alejandro (53878426100); Lucena-Antón, David (57200761854); García-Sánchez, Pablo (7003678541); Cobo, Manuel J. (25633455900)","56062277800; 53878426100; 57200761854; 7003678541; 25633455900","Social media attention of the ESI highly cited papers: An Altmetrics-based overview","2019","17th International Conference on Scientometrics and Informetrics, ISSI 2019 - Proceedings","2","","","1734","1745","11","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073872060&partnerID=40&md5=f47d40769472a6c1434e08ac04268dc8","Conference paper","Final","","Scopus","2-s2.0-85073872060"
"Olmeda-Gómez C.; Perianes-Rodríguez A.","Olmeda-Gómez, Carlos (25031818000); Perianes-Rodríguez, Antonio (25723755700)","25031818000; 25723755700","Altmetrics as a research specialty (Dimensions, 2005-2018)","2019","Profesional de la Informacion","28","6","e280608","","","","7","10.3145/epi.2019.nov.08","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078451212&doi=10.3145%2fepi.2019.nov.08&partnerID=40&md5=da00943ecac613c34f4bbe96be4f80ea","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85078451212"
"Strielkowski W.; Chigisheva O.","Strielkowski, Wadim (36620065300); Chigisheva, Oksana (56642818400)","36620065300; 56642818400","Research and Academic Leadership: Gaming with Altmetrics in the Digital Age","2019","Springer Proceedings in Business and Economics","","","","307","313","6","9","10.1007/978-3-030-15495-0_32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126095641&doi=10.1007%2f978-3-030-15495-0_32&partnerID=40&md5=5feb61cdb96ad01166991d87e9608225","Conference paper","Final","","Scopus","2-s2.0-85126095641"
"Thananusak T.; Ansari S.","Thananusak, Trin (57200858515); Ansari, Shaz (59096012300)","57200858515; 59096012300","Knowledge production and consumption in the digital era: The emergence of altmetrics and open access publishing in management studies","2019","Research in the Sociology of Organizations","59","","","77","102","25","6","10.1108/S0733-558X20190000059005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063563295&doi=10.1108%2fS0733-558X20190000059005&partnerID=40&md5=0fe4e3dceb565af8918aca675d97be6a","Book chapter","Final","","Scopus","2-s2.0-85063563295"
"López-Padilla D.; García-Río F.; Alonso-Arroyo A.; Pérez Gallán M.; Puente Maestú L.; Segrelles-Calvo G.; de Granda-Orive J.I.","López-Padilla, Daniel (56891734800); García-Río, Francisco (7006536958); Alonso-Arroyo, Adolfo (16232419800); Pérez Gallán, Marta (57189033033); Puente Maestú, Luis (7004158633); Segrelles-Calvo, Gonzalo (53986559400); de Granda-Orive, José Ignacio (26642893000)","56891734800; 7006536958; 16232419800; 57189033033; 7004158633; 53986559400; 26642893000","Altmetrics Analysis of Archivos de Bronconeumología From 2014 to 2018; [Análisis de las métricas alternativas de Archivos de Bronconeumología durante el periodo 2014-2018]","2020","Archivos de bronconeumologia","56","5","","298","305","7","4","10.1016/j.arbres.2019.08.024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084961275&doi=10.1016%2fj.arbres.2019.08.024&partnerID=40&md5=cbd7afc7d8d1400b02e300696cfe967d","Article","Final","","Scopus","2-s2.0-85084961275"
"Pacheco A.; Sousa A.; Yanai A.; Lopes S.; Machado L.","Pacheco, André (57203973926); Sousa, Alexandre (57213127725); Yanai, Angela (57205094977); Lopes, Susana (57194549295); Machado, Luís (57200138801)","57203973926; 57213127725; 57205094977; 57194549295; 57200138801","Metrics and altmetrics: An exploratory study of a possible correlation between the most cited papers in open and restricted access in 2016-2018","2018","ACM International Conference Proceeding Series","","","","258","264","6","1","10.1145/3284179.3284224","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058540065&doi=10.1145%2f3284179.3284224&partnerID=40&md5=734b64d321298d0736c58e5faaa0ccbd","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85058540065"
"Marincek C.; Franchignoni F.","Marincek, Crt (6603890843); Franchignoni, Franco (7004599987)","6603890843; 7004599987","Some thoughts on bibliometrics, usage metrics and altmetrics concerning the International Journal of Rehabilitation Research","2019","International Journal of Rehabilitation Research","42","3","","193","195","2","11","10.1097/MRR.0000000000000356","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071347316&doi=10.1097%2fMRR.0000000000000356&partnerID=40&md5=3cb639396932ecc22a1d6a6059c4ce77","Review","Final","","Scopus","2-s2.0-85071347316"
"Robinson-Garcia N.; van Leeuwen T.N.; Ràfols I.","Robinson-Garcia, Nicolas (36712349900); van Leeuwen, Thed N. (35611695700); Ràfols, Ismael (55916038700)","36712349900; 35611695700; 55916038700","Using altmetrics for contextualised mapping of societal impact: From hits to networks","2018","Science and Public Policy","45","6","","815","826","11","75","10.1093/SCIPOL/SCY024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055972582&doi=10.1093%2fSCIPOL%2fSCY024&partnerID=40&md5=3fe0fce987875662f24a60dcf2c32fbb","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85055972582"
"","","","Study on the Construction of Evaluation System of Altmetrics Data Quality; [替代计量数据质量评估体系构建研究]","2019","Documentation, Information and Knowledge","","2","","19","50","31","0","10.13366/j.dik.2019.02.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178318877&doi=10.13366%2fj.dik.2019.02.019&partnerID=40&md5=81d62f0490a7e77b8072b942ef3af2ee","Article","Final","","Scopus","2-s2.0-85178318877"
"Pontes T.C.F.; Araújo R.","Pontes, Tereza Cristina Fernandes (57216035978); Araújo, Ronaldo (56975940000)","57216035978; 56975940000","Altmetric on the mundaneum museum: A panoramic study on the diffusion of scientific production in social networks; [Altmetria sobre o museu mundaneum: Estudo panorâmico sobre a difusão da produção científica nas redes sociais]; [Altmetrics en el museo mundaneum: Un estudio panorámico sobre la difusión de la producción científica en las redes sociales]","2019","Ciencia da Informacao","48","3","","199","205","6","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082522223&partnerID=40&md5=37dd669f700a3725ebdf86476d933c2b","Article","Final","","Scopus","2-s2.0-85082522223"
"Yu Y.; Liu X.","Yu, Yisheng (57194511127); Liu, Xinyan (57194513854)","57194511127; 57194513854","Research on the Influence Evaluation of Altmetrics Hot Papers from the Perspective of Citation Indicators; [引文指标视角下的 Altmetrics 热点论文影响力评价研究]","2019","Journal of Library and Information Science in Agriculture","31","5","","28","36","8","0","10.13998/j.cnki.issn1002-1248.2019.05.19-0388","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152001225&doi=10.13998%2fj.cnki.issn1002-1248.2019.05.19-0388&partnerID=40&md5=21ae4359efa9f12a4948be0f58834789","Article","Final","","Scopus","2-s2.0-85152001225"
"Ortega J.-L.","Ortega, José-Luis (14060977700)","14060977700","Altmetrics data providers: A meta-analysis review of the coverage of metrics and publication","2020","Profesional de la Informacion","29","1","e290107","","","","39","10.3145/epi.2020.ene.07","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086319362&doi=10.3145%2fepi.2020.ene.07&partnerID=40&md5=817a2ccb9e7776437564997f6149439a","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85086319362"
"Thompson D.F.","Thompson, Dennis F. (7404934685)","7404934685","Altmetrics: Not ready for PrimeTime?","2020","JACCP Journal of the American College of Clinical Pharmacy","3","1","","4","5","1","0","10.1002/jac5.1165","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106545841&doi=10.1002%2fjac5.1165&partnerID=40&md5=92d7cbe325820618986e5035a18c801b","Editorial","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85106545841"
"","","","Evolution of Altmetrics From a Scientometrical Perspective; [科学计量学视角下的Altmetrics发展历程分析]","2019","Documentation, Information and Knowledge","","2","","5","11","6","1","10.13366/j.dik.2019.02.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094899571&doi=10.13366%2fj.dik.2019.02.005&partnerID=40&md5=26cbb8a4287621238cc09e16074ac714","Article","Final","","Scopus","2-s2.0-85094899571"
"Gamble J.M.; Traynor R.L.; Gruzd A.; Mai P.; Dormuth C.R.; Sketris I.S.","Gamble, J.M. (55822965127); Traynor, Robyn L. (23486804200); Gruzd, Anatoliy (23008139300); Mai, Philip (56879968200); Dormuth, Colin R. (6603195575); Sketris, Ingrid S. (7006186032)","55822965127; 23486804200; 23008139300; 56879968200; 6603195575; 7006186032","Measuring the impact of pharmacoepidemiologic research using altmetrics: A case study of a CNODES drug-safety article","2020","Pharmacoepidemiology and Drug Safety","29","S1","","93","102","9","22","10.1002/pds.4401","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044325731&doi=10.1002%2fpds.4401&partnerID=40&md5=3b6f70d3cd915e1d3e0b7eb7defe991f","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85044325731"
"Onyancha O.B.","Onyancha, Omwoyo Bosire (23397584400)","23397584400","Research Excellence in the Era of Online Attention: Altmetrics of South Africa’s Highly Cited Papers in Selected Research Fields","2020","Publishing Research Quarterly","36","1","","169","185","16","6","10.1007/s12109-019-09679-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070954229&doi=10.1007%2fs12109-019-09679-z&partnerID=40&md5=036a7caf57b98d16f1fefb6050c166aa","Article","Final","","Scopus","2-s2.0-85070954229"
"Repiso R.; Castillo-Esparcia A.; Torres-Salinas D.","Repiso, Rafael (24559165000); Castillo-Esparcia, Antonio (55618587500); Torres-Salinas, Daniel (55665562600)","24559165000; 55618587500; 55665562600","Altmetrics, alternative indicators for Web of Science Communication studies journals","2019","Scientometrics","119","2","","941","958","17","34","10.1007/s11192-019-03070-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062794758&doi=10.1007%2fs11192-019-03070-7&partnerID=40&md5=3b5f4994c18183120a35cf0ee1c6022c","Article","Final","","Scopus","2-s2.0-85062794758"
"Drongstrup D.; Malik S.; Hassan S.-U.","Drongstrup, Dorte (56082594700); Malik, Shafaq (57215344547); Hassan, Saeed-Ul (57314020200)","56082594700; 57215344547; 57314020200","Altmetrics study of economics","2019","17th International Conference on Scientometrics and Informetrics, ISSI 2019 - Proceedings","1","","","984","989","5","7","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076920827&partnerID=40&md5=420106ff74daed8aacd3e03db88e777b","Conference paper","Final","","Scopus","2-s2.0-85076920827"
"Zheng H.; Chen X.; Duan X.","Zheng, Han (57202575475); Chen, Xiaoyu (56593932000); Duan, Xu (57212276174)","57202575475; 56593932000; 57212276174","An Overview of Altmetrics Research: A Typology Approach","2019","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11853 LNCS","","","33","39","6","1","10.1007/978-3-030-34058-2_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076348374&doi=10.1007%2f978-3-030-34058-2_4&partnerID=40&md5=39734f632d06bae51c7cd237360f389a","Conference paper","Final","","Scopus","2-s2.0-85076348374"
"Dardas L.A.; Woodward A.; Scott J.; Xu H.; Sawair F.A.","Dardas, Latefa Ali (54794876100); Woodward, Amanda (57205570871); Scott, Jewel (57201315691); Xu, Hanzhang (57190431371); Sawair, Faleh A. (6508106771)","54794876100; 57205570871; 57201315691; 57190431371; 6508106771","Measuring the social impact of nursing research: An insight into altmetrics; [衡量护理研究的社会影响:深入了解评价指标]","2019","Journal of Advanced Nursing","75","7","","1394","1405","11","49","10.1111/jan.13921","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060655410&doi=10.1111%2fjan.13921&partnerID=40&md5=fd4a66d2776630494c7ec7c6db0257c9","Review","Final","","Scopus","2-s2.0-85060655410"
"Bandboni M.E.; Ramezani-Pakpour-langeroudi F.; Fallahmortezanejad S.; Ramezani A.","Bandboni, Mohammad Esmaeilpour (57219896059); Ramezani-Pakpour-langeroudi, Fatemeh (58528062600); Fallahmortezanejad, Seyyedhamidreza (57221716812); Ramezani, Aboozar (57204005911)","57219896059; 58528062600; 57221716812; 57204005911","Investigating the Presence of Highly Cited Articles on Chronic Diseases in Scientific Social Network: Altmetrics Study","2019","Jundishapur Journal of Chronic Disease Care","8","3","e90837","","","","3","10.5812/jjcdc.90837","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129079093&doi=10.5812%2fjjcdc.90837&partnerID=40&md5=8d6e1917aca2e2b6d46ba8b8386a2172","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85129079093"
"Holmberg K.; Bowman T.D.","Holmberg, Kim (25632561700); Bowman, Timothy D. (57189183302)","25632561700; 57189183302","Google Search results as an altmetrics data source?","2019","17th International Conference on Scientometrics and Informetrics, ISSI 2019 - Proceedings","2","","","1462","1467","5","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073874689&partnerID=40&md5=cff9d465bd56622bf8111fe2881b95f3","Conference paper","Final","","Scopus","2-s2.0-85073874689"
"Regan A.; Henchion M.","Regan, Áine (55628142800); Henchion, Maeve (57204404245)","55628142800; 57204404245","Making sense of altmetrics: The perceived threats and opportunities for academic identity","2019","Science and Public Policy","46","4","","479","489","10","12","10.1093/scipol/scz001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073467842&doi=10.1093%2fscipol%2fscz001&partnerID=40&md5=c93420350ba3e84d4db0c337cdc4525c","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85073467842"
"Nemati-Anarak L.; Razmgir M.; Moradzadeh M.","Nemati-Anarak, Leila (57221910568); Razmgir, Maryam (57191054782); Moradzadeh, Mina (57226455917)","57221910568; 57191054782; 57226455917","Scientific impact of Iran University of Medical Sciences researchers in ResearchGate, Google Scholar, and Scopus: An altmetrics study","2020","Medical Journal of the Islamic Republic of Iran","34","1","","1","6","5","4","10.34171/mjiri.34.142","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097365745&doi=10.34171%2fmjiri.34.142&partnerID=40&md5=e48350defceef2fc28d905fb90797dcf","Article","Final","","Scopus","2-s2.0-85097365745"
"James A.; Raux M.","James, Arthur (57199391205); Raux, Matthieu (14066575700)","57199391205; 14066575700","Altmetrics scores: What are they?","2020","Anaesthesia Critical Care and Pain Medicine","39","3","","443","445","2","10","10.1016/j.accpm.2020.03.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082550541&doi=10.1016%2fj.accpm.2020.03.015&partnerID=40&md5=ac1936474d1c2ed7637829c6eae10c02","Letter","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85082550541"
"Maia L.F.M.P.; Lenzi M.; Oliveira J.","Maia, Luís Fernando Monsores Passos (57197810392); Lenzi, Marcia (57208510866); Oliveira, Jonice (7202452493)","57197810392; 57208510866; 7202452493","ReALM: An altmetrics-based web system to map science impacts on society. A case study on chikungunya research","2019","Proceedings of the 25th Brazillian Symposium on Multimedia and the Web, WebMedia 2019","","","","481","488","7","1","10.1145/3323503.3361697","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075602582&doi=10.1145%2f3323503.3361697&partnerID=40&md5=0396614d7f55f4622e6ae75e388b3d6b","Conference paper","Final","","Scopus","2-s2.0-85075602582"
"Mandal S.","Mandal, Sukumar (57194679975)","57194679975","Designing Altmetrics Enabled Discovery Services through DSpace","2019","Indian Journal of Information Sources and Services","9","1","","117","121","4","1","10.51983/ijiss.2019.9.1.582","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173238608&doi=10.51983%2fijiss.2019.9.1.582&partnerID=40&md5=601aa463ff126677c760ad783f1d8ff6","Article","Final","","Scopus","2-s2.0-85173238608"
"Murray G.; Hellen R.; Ralph J.; Raghallaigh S.N.","Murray, Gregg (57205842656); Hellen, Rebecca (56378115900); Ralph, James (57210263636); Raghallaigh, Siona Ni (35732202900)","57205842656; 56378115900; 57210263636; 35732202900","Comparison of Traditional Citation Metrics and Altmetrics among Dermatology Journals: Content and Correlational Analysis Study","2020","JMIR Dermatology","3","1","e15643","","","","4","10.2196/15643","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127143956&doi=10.2196%2f15643&partnerID=40&md5=959f052be77a37268d270bba5c353103","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85127143956"
"Breuer T.; Schaer P.; Tunger D.","Breuer, Timo (57210368795); Schaer, Philipp (35758004800); Tunger, Dirk (12140216500)","57210368795; 35758004800; 12140216500","Relations between relevance assessments, bibliometrics and altmetrics","2020","CEUR Workshop Proceedings","2591","","","101","112","11","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083323586&partnerID=40&md5=6ebd1a82767a14c0a78b184869301e4a","Conference paper","Final","","Scopus","2-s2.0-85083323586"
